Date,Open,High,Low,Close ,Adj Close ,Currency,Volume
17-Apr-25,129.24,129.65,128.01,129.32,129.32,USD,2547200
16-Apr-25,128.87,129.59,127.28,128.72,128.72,USD,3571500
15-Apr-25,129.2,129.84,128.26,129.44,129.44,USD,1949100
14-Apr-25,128.5,128.76,126.88,128.03,128.03,USD,1527200
11-Apr-25,124.25,127.01,124.25,126.54,126.54,USD,5241500
10-Apr-25,128,128.21,122.75,124.47,124.47,USD,5434100
9-Apr-25,123.54,129.84,121.31,129.5,129.5,USD,5333200
8-Apr-25,128.69,129.1,123.84,124.79,124.79,USD,3383800
7-Apr-25,122,128.5,121.97,125.63,125.63,USD,6337400
4-Apr-25,132.65,132.72,126.23,127.04,127.04,USD,8836900
3-Apr-25,135.56,137.53,135.21,135.31,135.31,USD,4555500
2-Apr-25,137.24,140.04,136.53,139.76,139.76,USD,3169300
1-Apr-25,137.41,138.6,136.01,138.04,138.04,USD,1971000
31-Mar-25,134.98,137.9,134.13,137.42,137.42,USD,2657100
28-Mar-25,138.25,138.7,136.28,136.44,136.44,USD,3829300
27-Mar-25,139,139.45,138.29,138.91,138.91,USD,2251600
26-Mar-25,140.79,140.93,138.8,139.35,139.35,USD,1768600
25-Mar-25,140.2,140.88,139.85,140.22,140.22,USD,2179100
24-Mar-25,139.82,140.47,139.29,139.49,139.49,USD,2142400
21-Mar-25,139.43,139.74,137.86,138.68,138.68,USD,6579000
20-Mar-25,140.02,140.87,139.65,140.1,140.1,USD,1219900
19-Mar-25,139.98,140.82,139.41,140.53,140.53,USD,1513400
18-Mar-25,140.15,141.11,138.94,139.59,139.59,USD,1576300
17-Mar-25,139.25,140.22,138.22,140.04,140.04,USD,2427200
14-Mar-25,137.41,139.68,137.26,139.17,139.17,USD,1649500
13-Mar-25,138.16,139.79,136.98,137.02,137.02,USD,2078100
12-Mar-25,138.07,139.55,137.31,139.41,139.41,USD,2038700
11-Mar-25,140.08,141.41,137.24,137.31,137.31,USD,4066100
10-Mar-25,139.78,141.64,139.59,141.04,141.04,USD,2212200
7-Mar-25,139.75,141.88,139.25,141.61,141.61,USD,1536800
6-Mar-25,141.49,141.57,139.51,140.39,140.39,USD,2654800
5-Mar-25,143.31,144.55,141.41,142.6,142.6,USD,3459300
4-Mar-25,145.79,145.83,142.28,144.18,144.18,USD,3518500
3-Mar-25,149.07,149.78,146.66,147.47,147.47,USD,1849100
28-Feb-25,148.31,149.03,147.1,148.76,148.76,USD,4409100
27-Feb-25,149.36,150.15,148.07,148.76,148.76,USD,3666600
26-Feb-25,149.47,150.71,147.95,149.19,149.19,USD,3708300
25-Feb-25,145.5,151.08,145.5,149.09,149.09,USD,5756200
24-Feb-25,142.75,143.07,142.12,142.35,142.35,USD,2797300
21-Feb-25,143.63,144.72,142.71,142.96,142.96,USD,2861900
20-Feb-25,143.24,143.92,142.01,142.99,142.99,USD,1889100
19-Feb-25,143.28,143.84,142.17,143.71,143.71,USD,2043400
18-Feb-25,143.21,144.34,142.99,143.78,143.78,USD,3456400
14-Feb-25,142.8,143.82,142.53,143.21,143.21,USD,2041100
13-Feb-25,141.04,142.57,140.47,142.53,142.53,USD,2501400
12-Feb-25,142.02,142.19,140.39,140.97,140.97,USD,1696800
11-Feb-25,141.68,142.88,141.57,142.31,142.31,USD,4034900
10-Feb-25,142.75,143.01,141.59,142.17,142.17,USD,3083000
7-Feb-25,142.48,142.48,141.25,142.27,142.27,USD,1667800
6-Feb-25,142.24,142.72,141.87,142.67,142.67,USD,2631600
5-Feb-25,139.97,141.05,139.75,141.05,141.05,USD,2560900
4-Feb-25,142.1,142.91,139.47,139.47,139.47,USD,3855000
3-Feb-25,135,142.54,135,142.1,142.1,USD,7732600
31-Jan-25,143.84,145.12,143.6,143.88,143.88,USD,6739200
30-Jan-25,1.59 Dividend,,,,,USD,
30-Jan-25,144.17,144.79,143.75,144.23,144.23,USD,4319500
29-Jan-25,144.18,145.65,144.18,145.62,144.03,USD,4540000
28-Jan-25,144.9,145.04,143.52,144.6,143.02,USD,4374400
27-Jan-25,144,146.07,143.99,144.9,143.32,USD,6116500
24-Jan-25,143.89,145.15,143.8,144.86,143.28,USD,7291600
23-Jan-25,144.03,144.25,143.43,143.99,142.42,USD,3249200
22-Jan-25,143.9,144.26,143.31,144.03,142.46,USD,2542200
21-Jan-25,143.86,144.25,143.4,143.79,142.22,USD,3166300
20-Jan-25,143.48,144.43,143.46,143.83,142.26,USD,710500
17-Jan-25,143.28,143.78,142.61,143.32,141.76,USD,1560100
16-Jan-25,142.11,142.98,141.31,142.84,141.28,USD,2518500
15-Jan-25,142,143.06,141.78,142.1,140.55,USD,2212100
14-Jan-25,139.91,140.72,139.15,140.41,138.88,USD,1588600
13-Jan-25,139.46,140.39,139.13,139.46,137.94,USD,3621000
10-Jan-25,141.19,141.37,140.31,140.65,139.11,USD,3610000
9-Jan-25,141.43,142,141.04,141.63,140.08,USD,571000
8-Jan-25,139.6,142.48,139.55,141.55,140,USD,2985900
7-Jan-25,138.45,139.33,138.09,139.12,137.6,USD,1758100
6-Jan-25,139.57,139.91,137.84,137.95,136.44,USD,1750400
3-Jan-25,140.13,140.7,138.54,138.77,137.25,USD,1156500
2-Jan-25,140.5,141.12,139.57,139.79,138.26,USD,2036100
31-Dec-24,139.42,140.12,139.22,139.55,138.03,USD,2436600
30-Dec-24,139,139.58,138.4,139.12,137.6,USD,1844700
27-Dec-24,139.39,140.25,139.28,139.94,138.41,USD,2297100
24-Dec-24,139.11,139.49,138.88,139.11,137.59,USD,348600
23-Dec-24,138.22,139.57,138.1,139.41,137.89,USD,2257100
20-Dec-24,138.52,139,137.57,138.84,137.32,USD,4534600
19-Dec-24,139.2,139.88,138.58,139.13,137.61,USD,1668200
18-Dec-24,140.6,140.8,137.28,138.34,136.83,USD,2281100
17-Dec-24,139.92,140.89,139.36,140.48,138.95,USD,1448200
16-Dec-24,140.5,141.03,139.92,140.64,139.1,USD,1719300
13-Dec-24,141.2,141.3,140.42,141,139.46,USD,3903700
12-Dec-24,142.34,142.46,140.9,141.26,139.72,USD,1888800
11-Dec-24,143.29,143.68,142.2,142.74,141.18,USD,1202600
10-Dec-24,142.76,143.45,142.5,142.87,141.31,USD,1171400
9-Dec-24,146.2,146.58,142.26,142.89,141.33,USD,2180900
